ComplaintID,State,Zip,Date,LostMoney,Study Category,RandomID,PersonalizedURL
Scam578092,FL,33543,2022-02-04,No,OTHER BUSINESS IMPOSTER,852859,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B852859
Scam578273,ID,83634,2022-02-04,No,OTHER BUSINESS IMPOSTER,881255,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B881255
Scam578121,AR,71730,2022-02-03,No,AMAZON,429908,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B429908
Scam578040,CA,95758,2022-02-03,No,OTHER BUSINESS IMPOSTER,832367,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B832367
Scam578159,FL,32713,2022-02-03,No,OTHER BUSINESS IMPOSTER,755162,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B755162
Scam578101,FL,33614,2022-02-03,No,OTHER BUSINESS IMPOSTER,883066,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B883066
Scam578181,FL,33765,2022-02-03,No,OTHER BUSINESS IMPOSTER,584273,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B584273
Scam578090,KY,40222,2022-02-03,No,OTHER BUSINESS IMPOSTER,479472,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B479472
Scam578125,MN,55409,2022-02-03,No,OTHER BUSINESS IMPOSTER,757394,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B757394
Scam578111,OH,44077,2022-02-03,No,SSA,744700,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B744700
Scam578061,TX,79938,2022-02-03,No,OTHER BUSINESS IMPOSTER,776386,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B776386
Scam578167,WA,99006,2022-02-03,No,OTHER GOVT,198051,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B198051
Scam578051,IN,46902,2022-02-03,Yes,OTHER BUSINESS IMPOSTER,160138,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B160138
Scam578106,OH,43232,2022-02-03,Yes,OTHER BUSINESS IMPOSTER,107676,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B107676
Scam577771,AZ,85714,2022-02-02,No,OTHER BUSINESS IMPOSTER,247558,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B247558
Scam577910,CA,96032,2022-02-02,No,OTHER BUSINESS IMPOSTER,951399,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B951399
Scam577881,FL,34609,2022-02-02,No,OTHER BUSINESS IMPOSTER,54204,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B54204
Scam576618,GA,31329,2022-02-02,No,OTHER BUSINESS IMPOSTER,840004,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B840004
Scam577887,ID,83320,2022-02-02,No,AMAZON,728843,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B728843
Scam577947,IN,46148,2022-02-02,No,OTHER BUSINESS IMPOSTER,609846,https://uwmadison.co1.qualtrics.com/jfe/form/SV_e5nAU1KLYRCdEDY?BID=B609846
